Field1;Field2;Field3;Field4;Field5;Field6;Field7;Field8;Field9;Field10;Field11;Field12;Field13;Field14;Field15;Field16;Field17;Field18;Field19;Field20;Field21;Field22;Field23;Field24;Field25;Field26;Field27;Field28;Field29;Field30;Field31;Field32;Field33;Field34;Field35;Field36;Field37;Field38;Field39;Field40;Field41;Field42;Field43
Cornetti con ripieno di crema agli amaretti;Dolci;Ripieno di crema torta Silvana;;;0;Pasta brioche;Ripieno torta Silvana;Latte;Granella di zucchero;;;;;;;;;;;;;;;"Fare la pasta brioche nella macchina come per le ""Titole""";Fare il ripieno come per la torta di Silvana;Stendere un po' di pasta alla volta in un cerchio;Tagliare in 8 spicchi;Mettere un po' di ripieno sulla parte larga della pasta;Arrotolare a cornetti;Mettere sulla placca da forno con la carta;Far lievitare nuovamente ;Spennellare con un po' di latte e mettere della granella di zucchero;Cuocere a 180° x 20 min;;;;;;;;;Ricetta di mia invenzione!!! Buonissimi!!!!!!!!!!!!!!! Diminuirei solo la quantità di zucchero del ripieno, forse anche della metà ma credo dipenda dal tipo di amaretti, purtroppo.
Crema al burro;Dolci;Burro;8;214;1712;200 gr. di burro;50 gr. di zucchero a velo;;;;;;;;;;;;;;;;;Tenere il burro a temperatura ambiente.;Sbatterlo molto bene con lo zucchero a velo. ;Bisogna ottenere una crema leggerissima.;;;;;;;;;;;;;;;;Serve per farcire le torte. Bisogna montarlo a mano perchè il frullatore rompe le molecole del burro e la crema risulta troppo liquida e non si rassoda più. (Provare con le fruste elettriche.) Ricetta della nonna Nina.
Crema al limone;Dolci;Uova;6;;0;5 tuorli;2 cucchiai di farina;2 cucchiai di zucchero;1 limone;sale;1\8 di litro di latte;;;;;;;;;;;;;Mescolare i tuorli con lo zucchero.;Aggiungere la farina e il succo del limone.;Aggiungere anche la scorza grattugiata di 1\2 limone.;Salare poco.;Far sobbollire il latte.;Versarlo di colpo nei tuorli.;Mescolare su fuoco basso finchè non si addensa.;Far raffreddare mescolando spesso.;;;;;;;;;;;"Con questa crema farcire il ""biscotto arrotolato"" che va srotolato dal canovaccio e poi riavvolto in carta d'alluminio. Conservare in frigo. Ricetta della nonna Giuliana."
Crema di mascarpone;Dolci;Mascarpone;6;477;2862;250 gr. di mascarpone;250 gr. di ricotta;3 cucchiai di zucchero;3 uova;sale;150 gr. di gocce di cioccolata;;;;;;;;;;;;;Sbattere i tuorli con lo zucchero.;Ottenere una crema liscia ed omogenea.;Aggiungere il mascarpone e la ricotta.;Appena sono amalgamati bene togliere dal frullatore.;Aggiungere le gocce di cioccolata.;Montare a neve ben ferma le chiare con un po' di sale. ;Amalgamare le chiare alla crema.;Mescolare piano.;Mettere in frigo e far ben raffreddare.;;;;;;;;;;Servire con dei biscotti. E' la stessa crema che si prepara per fare il tiramisù.
Crema di mascarpone x pandoro;Dolci;Mascarpone;;;0;3 uova intere;150 gr. di zucchero;500 gr. di mascarpone;liquore a piacere;;;;;;;;;;;;;;;Sbattere le uova intere con lo zucchero.;Sbattere finchè non diventano belle spumose (anche 10 min. se occorre);Aggiungere poco alla volta il mascarpone mescolando a velocità ridotta.;Aumentare un po' la velocità. ;Aggiungere il liquore.;Servire con il pandoro.;;;;;;;;;;;;;Se avanza metterla in uno stampo da crostate rivestito di pasta frolla e cuocerla in forno a 180° x 40 min. Viene una crostata ottima.
Crema di ricotta e arance x pandoro;Dolci;Ricotta;;;0;250 gr. di ricotta;40 gr. di zucchero a velo;scorza grattugiata di una arancia;1/2 succo d'arancia;liquore gran marnier;;;;;;;;;;;;;;Mescolare la ricotta con lo zucchero e la scorza d'arancia.;Aggiungere il succo e il liquore.;Far riposare in frigo almeno 3 ore.;Servire con il pandoro;;;;;;;;;;;;;;;Se avanza metterla in uno stampo da crostate rivestito di pasta frolla e cuocerla in forno a 180° x 40 min circa. E' ancora più buona che sul pandoro!!!!!
Crema ganasche al cioccolato;Dolci;Panna;;;0;250 gr. di panna fresca;250 gr. di gocce di cioccolata;30 gr. di burro;acqua fredda;ghiaccio;;;;;;;;;;;;;;Mettere la panna e il burro su fuoco bassissimo.;Appena accenna a bollire togliere dal fuoco.;Aggiungere le gocce di cioccolata e mescolare bene.;Mettere la pentola a bagno maria in acqua e ghiaccio .;Mescolare con una frusta elettrica finchè la panna si monta.;Decorare i cupcake e mettere in frigo ad indurire;;;(Perchè la ganasce si indurisca ci vogliono quasi 30 min. di sbattitura);;Dose x ricoprire 24 cupcake;;;;;;;;Non spazientirsi perchè prima che diventi solida ci vuole molto tempo di lavoro con le fruste elettriche!
Crema marmorizzata;Dolci;Cioccolata;4;132;528;crema pasticcera;cacao in polvere;;;;;;;;;;;;;;;;;Ad un terzo della crema aggiungere il cacao.;Mescolare bene.;Deve aver assunto un bel colore scuro.;Mettere la crema gialla in quattro coppette.;Con un cucchiaio mettere al centro un po' di crema al cioccolato.;Con uno stecchino tirarla in modo da fare dei disegni.;Servirla fredda.;;;;;;;;;;;;
Crema pasticcera;Dolci;Uova;6;155;930;7 tuorli;2 cucchiai di farina;7 cucchiai di zucchero;1\4 di latte bollente;un pizzico di sale;rum ;;;;;;;;;;;;;Sbattere i tuorli con lo zucchero. ;Aggiungere il sale e la farina ( Può bastare anche un solo cucchiaio).;Versare il latte bollente sempre mescolando.;Mettere su fuoco non troppo forte.;Far cuocere finchè non sia abbastanza denso.;Togliere dal fuoco e continuare a mescolare per raffreddarla.;Aggiungere il rum.;Se è troppo dura aggiungere un goccio di latte.;;;;;;;;;;;Ricetta della nonna Nina.
Crema pasticcera (dose minima);Dolci;Uova;;;0;2 tuorli;50 gr. di zucchero;vanilina o rum;25 gr. di farina;250 latte;;;;;;;;;;;;;;Mescolare benissimo tuorli e zucchero;Aggiungere la farina e amalgamarla benissimo;Aggiungere il latte e mescolare;Mettere sul fuoco e continuare a mescolare finchè si addensa;Fuori dal fuoco aggiungere il rum;(se si mette la vanilina aggiungerla insieme alla farina);Far raffreddare;;;;;;;;;;;;Dose minima x un sacco di utilizzi
Crema pasticcera per bignè;Dolci;Uova;6;131;786;6 tuorli;3 cucchiai e 1\2 di zucchero;1 cucchiaio di farina;1\4 di latte;sale;rum;;;;;;;;;;;;;Sbattere i tuorli con le fruste.;Aggiungere la farina, il sale e il latte.;Far cuocere 10 min. continuando a mescolare.;Quando è cotta aggiungere parte del rum.;Ogni tanto mescolare finchè si raffredda.;Aggiungere altro rum.;;;;;;;;;;;;;La crema deve risultare abbastanza densa per non uscire dai bignè. Ricetta della nonna Nina
Crema Teresa;Dolci;Burro;8;263;2104;100 gr. di farina;100 gr. di zucchero;150 gr. di burro;150 gr. di rum;50 gr. di latte;;;;;;;;;;;;;;Mescolare la farina con lo zucchero e il latte.;Aggiungere 50 gr. di burro e 50 gr. di rum.;Cuocere per 10 min;Aggiungere altro rum perchè non si attacchi.;Quando è pronta continuare a mescolare.;Aggiungere il burro rimasto.;Amalgamare bene.;Far raffreddare mescolando ogni tanto perchè non si formi la pelle.;;;;;;;;;;;"Usare per farcire una torta secca tipo ""panettone"". Ricetta polacca."
Creme brulè;Dolci;Uova;;;0;500 gr. di panna fresca;una bustina di vanilina;4 rossi d'uovo;80 gr. di zucchero;zucchero di canna;;;;;;;;;;;;;;Versare in una pentola la panna e la vanilina.;Scaldare senza bollire.;Sbattere con le fruste elettriche i tuorli con lo zucchero.;Farli diventare bianchi e spumosi.;Versare la panna a filo nelle uova continuando a sbattere.;Mettere nelle cocottine.;Cuocere a bagnomaria.;Cuocere in forno a 180° per 30-35 min.;Far riposare in frigo per una notte.;Al momento di servire spolverizzare con zucchero di canna e bruciare.;Servire.;;;;;;;;Con questa dose e le mie coccotine ne vengono 9.
Crepes dolci;Dolci;Marmellata;6;438;2628;crepes;marmellata;zucchero semolato o a velo;;;;;;;;;;;;;;;;Farcire le crepes con la marmellata.;Arrotolarle e disporle in una teglia.;Cospargerle di zucchero.;Mettere in forno per pochi attimi.;Servire subito.;;;;;;;;;;;;;;Ricetta della nonna Nina.
Crostata crema di ricotta Giulia e Paola;Dolci;Crema di ricotta e arance;;;0;pasta frolla;crema di ricotta e arance x pandoro;;;;;;;;;;;;;;;;;Stendere la pasta con i bordi alti.;Coprire con la crema.;Cuocere in forno a 180° x 40 min. circa.;;;;;;;;;;;;;;;;ottima torta! ancora meglio che la crema sul pandoro. sono un genio!!!!!!!
Crostata di crema e fragoline di bosco;Dolci;Fragole;8;372;2976;Pasta frolla già preparata;crema pasticcera;1\2 kg. di fragoline di bosco;zucchero;succo di 1\2 limone;rum;;;;;;;;;;;;;GIORNO PRIMA:;Stendere la pasta su uno stampo da crostate ben unto e infarinato.;Mettere la carta da forno e i fagioli.;Cuocere in forno caldo per 30 min.;Preparare le fragoline con lo zucchero e il limone.;Metterle in frigo coperte.;GIORNO STESSO:;Preparare la crema pasticcera con abbondante rum.;Stenderla bene sulla crostata.;Mettere in frigo per qualche ora.;Poco prima di portare in tavola aggiungere le fragoline senza il sugo.;;;;;;;;Ricetta della nonna Nina.
Crostata di fichi;Dolci;Fichi;6;527;3162;Pasta frolla;400 gr. di fichi maturi;3 cucchiai di zucchero di canna;scorza grattuggiata di 1\2 limone;;;;;;;;;;;;;;;Stendere la pasta in uno stampo preparato.;Sbucciare i fichi e tagliarli a metà.;Sistemarli sulla pasta frolla.;Cospargerli con la scorza grattuggiata e lo zucchero di canna.;Ricavare dalla pasta avanzata delle strisce e fare una griglia.;Cuocere in forno già caldo a 180° per 40 min. circa.;;;;;;;;;;;;;
Crostata di pesche alla Gio;Dolci;Pesche;;;0;Pasta frolla;800 gr. di pesche snocciolate;200 gr. di zucchero;rum;;;;;;;;;;;;;;;Mettere le pesche a pezzi con lo zucchero e il rum in una pentola.;fare cuocere anche un'ora mescolando.;Far raffreddare.;Fare la pasta classica con 500 gr. di farina;Stenderne 3/4 sulla teglia rotonda grande.;Versarci la composta di frutta (liquida);Sbriciolarci sopra il resto della pasta.; Cuocere a 180° fino a cottura;Servire tiepida o fredda;;;;;;;;;;Ricetta di mia invenzione.
Crostata di ricotta;Dolci;Ricotta;;;0;Pasta frolla:;Per il ripieno:;300 gr. di farina;3 tuorli;150 gr. di burro;3 cucchiaini di zucchero;70 gr. di zucchero;150 gr. di latte;2 rossi d'uovo;1 cucchiaio scarso di farina;sale;vanillina;;300 gr. di ricotta;;3 chiare a neve;;rum;Fare la pasta frolla e farla riposare in frigo.;Fare la crema pasticcera e aggiungerci la ricotta frullata.;Aggiungerci anche le chiare montate a neve.;Foderare una teglia con la pasta.;Versarci la crema con la ricotta.;Mettere in forno caldo per 40 min.;;;;;;;;;;;;;A piacere si può fare doppia dose di pasta e coprire con un disco la torta. Ricetta della mamma Giuliana.
Crostata MIA con crema alla ricotta e mascarpone;Dolci;Ricotta;;;0;PASTA FROLLA:;2 etti di ricotta;300 gr. di farina;2 etti di mascarpone;150 gr. di burro;2 tuorli;100 gr. di zucchero;poco rum (o latte) ;1 uovo;;sale q b;;;;;;;;Si fa la pasta nel robot da cucina.;Si stende 3/4 in uno stampo con la carta da forno.;Si fa la crema con la ricotta e il mascarpone.;Si aggiuinge il rum (o latte) a renderla molto morbida;Si versa nella tortiera.;Si mettono su le briciole della frolla che affonferanno nella crema;Si cuoce a 180° x 40-50 min;;;;;;;;;;;;Ottima! Nata da uno sbaglio della crema!!!!
Crostata twix;Dolci;Dulce de leche;;;0;250 gr. di farina;125 gr. di burro;60 gr. di zucchero;1 uovo;1 cucchiaino di sale;dulce de leche;cioccolato al latte;;;;;;;;;;;;Fare la pasta frolla nel robot.;Stenderla su carta da forno e metterla in una tortiera.;Fare dei bei bordi;Bucherellarla con una forchetta;Cuocerla a 180° per 20 min circa;Farla raffreddare;Fare uno strato SOTTILISSIMO di dulce de leche;Sciogliere la cioccolata al latte nell'apposito pentolino;Versarla sul dulce de leche;Stenderla bene;Farla raffreddare bene;Servirla a fette;;;;;;;Buona!!!!!!
Crostoli;Dolci;Farina;8;391;3128;100 gr. di burro fuso;500 gr. di farina;50 gr. di zucchero;1 cucchiaino di sale;3 cucchiaini rasi di lievito;2 tuorli;1 uovo;pochissimo latte;rum;olio per friggere;zucchero a velo;;;;;;;;Mescolare la farina con lo zucchero, il sale e il lievito.;Aggiungerci le uova, il burro e il rum.;Fare la pasta.;Eventualmente mettere un po' di latte per ammorbidirla.;Lavorare sul tavolo per 20 min.;Passarla poi alla macchinetta dal buco più grosso al più sottile.;Tagliare dei rettangoli con la rotella dentata.;Dar loro la forma caratteristica.;Friggerli pochi per volta in olio ben caldo.;Farli perdere l'olio in eccesso su carta assorbente.;Servirli freddi spolverizzati di zucchero a velo.;;;;;;;;Ricetta della nonna Nina.
Crumble ai marron glassè;Dolci;Marron glassè;0;;0;70 gr. di burro;50 gr. di zucchero;2 uova;230 gr. di farina;2 cucchiaini di lievito;sale;latte q.b.;marron glassè;CRUMBLE: ;50 gr. di burro;50 gr. di zucchero;50 gr. di farina;pizzico di sale;;;;;;Lavorare il burro a temperatura ambiente con lo zucchero.;Aggiungere le uova e sbattere bene.;Aggiungere la farina con il lievito e un pizzico di sale.;Aggiungere il latte sufficiente a rendere la miscela cremosa.;Aggiungere i marron glassè a pezzi.;Rivestire uno stampo da plumcake con carta d'alluminio.;Versare l'impasto.;Lavorare il burro freddo con zucchero, farina e sale.;Formare delle briciole.;Versarle sula composto nello stampo.;Cuocere a 180° per 40 min. circa.;;;;;;;;Una buona torta!
Crumble alla frutta fresca;Dolci;Frutta fresca;;;0;120 gr. di farina;1 cucchiaino di lievito;100 gr. di zucchero;60 gr. di burro fuso;latte q.b.;frutta fresca (fragole, prugne, fichi,...);per il crumble:;;80 gr. di farina;50 gr. di zucchero;25 gr. di burro a temperatura amb.;;;;;;;;Mescolare con le fruste farina, lievito, zucchero e burro.;Aggiungere il latte necessario a rendere la pastella morbida;Bagnare e strizzare della carta da forno;Rivestire la tortiera blu in silicone da plumcake;Versare l'impasto;Metterci della frutta fresca tagliata a pezzettini ;In un piccolo frullatore mettere il necessario x il crumble;Frullare a formare delle briciole;Versarle sulla frutta senza premere;Cuocere a 180° per 40 min. ;;;;;;;;;Ottima! Provata con le prugne. da provare con altra frutta fresca.
Crumble alla marmellata;Dolci;Marmellata fatta in casa;;;0;250 gr. di farina;125 gr. di burro;60 gr. di zucchero;un pizzico di sale;1 uovo;marmellata fatta in casa;;;;;;;;;;;;;Mettere tutti gli ingredienti nel robot (tranne la marmellata);Mettere la carte da forno su una teglia di vetro pyrex (27 cm.);Distribuire 3/4 delle briciole di impasto e schiacciare con le mani.;Mettere abbondante marmellata.;Distribuire le briciole restanti sopra.;Cuocere a 180° x 40 min.;;;;;;;;;;;;;Ottima con la marmellata di pesche fatta da me!
Crumble di marzapane;Dolci;Marzapane;;;0;PER L'IMPASTO:;PER FARCIRE:;300 gr. di farina;250 gr. di marzapane;125 gr. di zucchero a velo;250 gr. di ricotta;1 uovo;200 ml di panna fresca;125 gr. di burro a temp. ambiente;2 uova;2 cucchiaini di lievito;50 gr. di zucchero di canna;;1 cucchiaino di amido di mais;PER DECORARE:;;mandorle a lamelle;zucchero a velo;Nel robot mettere tutti gli ingredienti e fare l'impasto.;Mettere un foglio di carta forno su una teglia da crostate.;Mettere 3/4 di impasto e premere bene.;Fare i bordi alti come la teglia (il ripieno è molto);;Nel robot mettere il marzapane a pezzi.;Frullare con la ricotta, lo zucchero di canna e l'amido di mais.;In una ciotola sbattere le uova.;Aggiungere la panna e aggiungere il composto prepapato nel robot. ;(non farlo nel robot perchè il liquido esce da sotto);Mescolare bene e versare nello stampo facendo attenzione che non esca.;Mettere il restante impasto a briciole sopra la crema.;Coprire con le lamelle di mandorle.;Cuocere a 180° per 35-40 min.;Servire fredda spolverata di zucchero a velo.;;;;Veramente molto buona! (assomiglia molto a quella della Silvana) 
Dessert di pesche fresche;Dolci;Pesche;4;390;1560;4 pesche mature;amaretti;liquore amaretto;;;;;;;;;;;;;;;;Tagliare le pesche a pezzi.;Non sbucciarle.;Mettere nel frullatore gli amaretti e le pesche.;Aggiungere il liquore finchè si forma una crema un po' densa.;Versare nelle coppette e decorare con un amaretto.;;;;;;;;;;;;;;Ricetta della nonna Giuliana.
Dolce alberello;Dolci;Pandoro;20;274;5480;Un pandoro;zucchero a velo;crema zabaglione;fiorellini di zucchero;;;;;;;;;;;;;;;Tagliare il pandoro in fette orrizzontali tutte uguali.;Spalmare lo zabaione.;Risistemare le fette sfalsate in modo che si formi un alberello.;Cospargere con abbondante zucchero a velo.;Decorare alcune punte con i fiorellini di zucchero.;;;;;;;;;;;;;;Mettere delle candeline e una guarnizione natalizia. Portare in tavola con le candeline accese.Ricetta della nonna Giuliana.
Dolcetti di noci;Dolci;Noci;16;213;3408;150 gr. di noci tritate;GLASSA:;1 cucchiaio di pane grattuggiato;150 gr. di zucchero a velo;1 cucchiaio di latte;1 tazzina di caffè;100 gr. di zucchero;;2 cucchiai di rum;;;30 mezzi gherigli di noce;;;;;;;Fare l'impasto con le noci e gli altri ingredienti.;Formare dei dolcetti lunghi.;Sbattere bene lo zucchero a velo con il caffè bollente.;Immergere ogni dolcetto nella glassa.;Decorare con un mezzo gheriglio di noce.;Lasciarli asciugare per una notte.;Metterli in pirottini di carta.;;;;;;;;;;;;Ricetta della nonna Nina.
Fregolota;Dolci;Mandorle;8;490;3920;300 gr. di mandorle spellate;300 gr. di farina;300 gr. di zucchero;2 tuorli;panna fresca;una noce di burro;un pizzico di sale;;;;;;;;;;;;Frullare le mandorle grossolanamente con qualche cucchiaio di zucchero.;Metterle in una ciotola e amalgamarle alla farina.;Aggiungere un pizzico di sale, lo zucchero rimasto e i tuorli.;Impastare con cura aggiungendo qualche cucchiaio di panna.;L'impasto deve rimanere sbriciolato.;Fare delle palline irregolari con l'impasto.;Coprire uno stampo da crostata con carta da forno bagnata e strizzata.;"Mettere i ""fregolotti"" uno accanto all'altro senza lasciare spazi.";Cuocere in forno già caldo a 180° per 35-40 min.;Servire la torta fredda.;Si conserva per qualche giorno in una scatola di latta.;;;;;;;;
French toast;Dolci;Sciroppo d'acero;4;122;488;1 uovo;un po' di latte;4 fette di pane da toast;burro;sale;sciroppo d'acero;;;;;;;;;;;;;Sbattere l'uovo con un po' di sale e un goccio di latte.;Immergervi le fette di pane e inzupparle molto bene.;Sgocciolarle un po'.;Metterle a friggere in una padella con un po' di burro.;Girarle per farle dorare da ambo i lati.;Servirle calde con lo sciroppo d'acero.;;;;;;;;;;;;;Ricetta di Gina Bornino (California).
Frittelle di mele;Dolci;Mele;6;201;1206;150 gr. di farina;15 gr. di zucchero;15 gr. di burro;1 uovo;1\3 di bicchiere di latte;1\3 di bicchierino di rum;un pizzico di sale;2 mele;zucchero a velo;5 gr. di lievito;olio per friggere;;;;;;;;Sbucciare le mele, togliere il torsolo e tagliarle a cubetti.;In una terrina sbattere l'uovo con lo zucchero.;Aggiungerci il liquore, il sale, il burro ammorbidito, il latte e la farina.;Mescolare bene e aggiungerci il lievito.;Lasciare riposare per mezz'ora.;Unire le mele.;Friggere a cucchiaiate in olio bollente in una padella larga e bassa.;Farle asciugare su carta da cucina.;Spolverare con lo zucchero a velo.;;;;;;;;;;Buone! Dolci e acidine
Frittelle di semolino;Dolci;Semolino;6;433;2598;1 litro di latte;250 gr. di semolino;1 bustina di lievito;uvetta;olio per friggere;rum;vanilina;50 gr. di zucchero;100 gr. di farina;2 uova;zucchero a velo;;;;;;;;Mettere il latte con il semolino.;Far cuocere per 10 min. mescolando continuamente.;Deve risultare abbastanza denso.;Togliere dal fuoco e aggiungere, uno alla volta, le uova.;Successivamente aggiungere gli altri ingredienti.;Friggere a piccole cucchiaiate in olio bollente.;Asciugare su carta assorbente.;Spolverare con zucchero a velo.;Servire calde.;;;;;;;;;;
Fudge;Dolci;Latte condensato;;;0;400 gr. di latte condensato;300 gr. di cioccolato fondente;200 gr. di cioccolato al latte;100 gr. di nocciole ;15 gr. di burro;un pizzico di sale;;;;;;;;;;;;;Tostare le nocciole a 180° per pochi minuti (circa 8-10);Frullarle;Mettere in una pentolina il latte condensato e le cioccolate a pezzi.;Far sciogliere su fuoco basso.;Mescolare le nocciole con il burro e il sale.;Fuori dal fuoco mescolare le nocciole alla cioccolata.;Mettere in una teglia con carta da forno.;Mettere in frigo a raffreddare (almeno 2 ore) ;Tagliare a cubetti e servire.;;;Si può usare la granella di nocciole e allora si scalda un po' nel microonde;;;;;;;Ottimi! sembrano baci perugina! Più resta in frigo e più diventa buono!
Glassa per torte;Dolci;Zucchero;12;68;816;2 etti di zucchero a velo;acqua bollente;un cucchiaio di rum;;;;;;;;;;;;;;;;Mescolare bene lo zucchero con l'acqua bollente.;Quando avrà un bel colore bianco opaco aggiungere il rum.;Continuare a mescolare finchè sarà abbastanza consistente. ;Stendere sulla torta.;Distribuire bene. ;Lasciar riposare in modo che la glassa si solidifichi.;;;;;;;;;;;;;Ricetta della nonna Nina.
Glassa per torte di cioccolata;Dolci;Cioccolata;;;0;400 gr. di panna da montare;40 gr. di burro;500 gr. di cioccolata fondente;;;;;;;;;;;;;;;;Far bollire la panna con il burro.;Tagliare la cioccolata a pezzetti.;Metterla in una terrina.;Agggiungere la panna bollente.;Mescolare bene.;Guarnire. ;Far asciugare.;;;;;;;;;;;;
Golosità all'amaretto;Dolci;Amaretti;10;233;2330;60 amaretti;80 gr. di burro morbido;40 gr. di zucchero a velo;20 gr. di cacao amaro;granella di cioccolato fondente;liquore all'amaretto;brandy;;;;;;;;;;;;Mescolare al burro lo zucchero e il cacao.;Mescolare con le fruste nel recipiente con coperchio della Tupperware.;Aggiungerci 2 cucchiaiate di liquore all'amaretto e una di brandy.;Mettere un po' di questa crema tra due amaretti.;Premere leggermente.;Cospargere la parte superiore con un po' di granella di cioccolato.;Metterli in frigo per circa un'ora prima di servirli.;;;;;;;;;;;;
Krapfen;Dolci;Lievito di birra;6;709;4254;40 gr. di lievito di birra;3 uova intere;5 cucchiai di zucchero;500 gr. di farina;50 gr. di burro;1 bicchiere di latte;olio per friggere;marmellata di albicocche;zucchero a velo.;;;;;;;;;;Sciogliere il lievito in un goccio di latte tiepido.;Lasciarlo riposare.;Impastarlo con la farina, il burro, lo zucchero e le uova.;Far lievitare la pasta.;La si lavora e la si stende piuttosto grossetta.;Tagliare dei dischi.;Mettere un cucchiaino di marmellata su metà dei dischi.;Coprire con gli altri rimasti.;Pennellare i bordi con un po' di latte in modo da sigillarli.;Lasciarli lievitare in luogo tiepido.;Friggerli in abbondante olio bollente.;Farli asciugare su carta da cucina. ;Spolverizzarli con zucchero a velo.;;;;;;Se si vogliono farcire con la crema non metterci la marmellata ma procedere alla stessa maniera. Poi, una volta cotti, con una siringa introdurre un po' di crema tra i due dischi.
Livanzen;Dolci;Lievito di birra;8;515;4120;500 gr. di farina;50 gr. di lievito di birra;4 tuorli;1 uovo;un pezzetto di burro;5 cucchiai di zucchero;1\2 cucchiaino di sale;1\4 abbondante di latte;rum in abbondanza;scorza di limone;marmellata;;;;;;;;Sciogliere il lievito con un cucchiaino di zucchero e latte tiepido.;Si mescola alla farina.;Si aggiunge un pizzico di sale.;Si aggiungono i tuorli uno alla volta e l'uovo.;Si scioglie il burro nel latte.;Si mescola alla preparazione.;Si aggiunge lo zucchero e un po' di sale.;Da ultimo si aggiungono il rum e la scorza di limone.;Se risulta troppo dura si mette un po' di latte e di rum.;Lasciare lievitare.;Ungere leggermente l'apposita padella con i buchi.;Mettere poca pastella.;Girarli.;Servirli con la marmellata.;;;;;Ricetta della nonna Nina.
Madeleine;Dolci;Farina;;;0;100 gr. di burro sciolto;120 gr. di farina;1/2 bustina di lievito per dolci;5-6 gocce di aroma di mandorle;1 pizzico di sale;2 uova;100 gr. di zucchero;(latte);;;;;;;;;;;Mescolare in una ciotola la farina, lo zucchero, ill lievito e il sale.;Sbattere le uova e aggiungerle.;Aggiungere il burro aromatizzato con l'aroma di mandorle.;Se necessario aggiungere un po' di latte.;ll composto deve risultare morbido e colloso.;Coprire e far riposare in frigo almeno 30 min. (obbligatorio);Accendere il forno a 200°;Sistemare il composto a cucchiaiate negli stampi (24 madeleine grandi);Cuocere 10 min a 200° e poi 10 min a 180°;Togliere dal forno e aspettare un attimo per estrarle dallo stampo.;Poi farle raffreddare sulla gratella.;;(Per quelle più piccole la cottura deve essere leggermente inferiore.);(quelle più piccole diventano morbide come devono dopo qualche gg ;conservate in una scatola di latta);;;;Se si vogliono fare al cacao sostituire 20 gr. di farina con 20 gr. di cacao in polvere.                                                                                             IMPORTANTISSIMO CHE L'IMPASTO RIPOSI IN FRIGO ALMENO 30 MINUTI.
Marzapane;Dolci;Mandorle;10;491;4910;500 gr. di mandorle tostate;500 gr. di zucchero a velo;1 uovo;maraschino;;;;;;;;;;;;;;;Frullare le mandorle.;Aggiungerci lo zucchero e l'uovo. ;Aggiungere a poco a poco il maraschino.;Deve risultare una pasta consistente.;;;;;;;;;;;;;;;Si possono fare delle palline e avvolgere sia nella cioccolata in polvere che in quella fusa. Guarnire poi con pezzi di frutta secca.                                      Ricetta della nonna Nina.
Mascherine di pasta frolla;Dolci;Pasta frolla;15;183;2745;250 gr. di farina;150 gr. di burro;100 gr. di zucchero;un uovo;un pizzico di sale;marmellata;codette colorata;;;;;;;;;;;;Preparare la pasta e farla riposare in frigo per 30 min.;Tagliare una mascherina da un foglio di cartoncino.;Stendere la pasta.;Tagliare le mascherine.;Metterle in forno caldo e cuocerle finchè saranno dorate. (circa 10 min.);Togliere dal forno e farle raffreddare.;Pennellarle con la marmellata e ricoprirle con le codette colorate.;;;;;;;;;;;;Se si preparano con qualche giorno d'anticipo, metterle in una scatola di latta senza marmellata e fare quell'operazione all'ultimo momento.
Muffin al doppio cioccolato;Dolci;Cioccolato;;;0;240 gr. di farina;120 gr. di zucchero;100 ml. di latte;100 gr. di burro;1 bustina di lievito;2 tuorli;2 chiare;300 gr. di cioccolato in blocco;sale q. b.;;;;;;;;;;Mettere in un pentolino latte, burro e 100 gr. di cioccolata.;Far sciogliere  a fuoco basso.;Mescolare farina, sale, lievito e zucchero.;Mettere i tuorli nel cioccolato raffreddato.;Mescolare bene.;Aggiungere alla farina e mescolare con un cucchiaio. ;Tagliare il restante cioccolato con il coltello.;Aggiungere la parte più sottile e tenere la più grossa da parte. ;Mescolare.;Montare gli albumi a neve e aggiungerli piano.;Mettere il composto negli stampini per muffin con la carta.;Aggiungere i pezzi grossi di cioccolato nell'impasto. ;Cuocere a 180° per 20 minuti.;;;;;;IMPORTANTE: cuocere nello stampo dei muffin con la carta. Nello stampo di silicone si rompono quando si sformano. Con la carta si possono servire interi e non tutti sbriciolati.
Muffin al marzapane;Dolci;Marzapane;;;0;200 gr. di burro morbido;100 gr. di zucchero;250 gr. di marzapane;4 uova;250 gr. di farina;75 gr. di amido di mais;1 bustina di lievito;50 gr. di latte a temp. ambiente;1 bustina di vanilina;1 fialetta di aroma di mandorla;2 buste di glassa al cioccolato;;;;;;;;Montare il burro con lo zucchero e la vanillina.;Aggiungere il marzapane tritato grossolanamente (Tipo crumble);Aggiungere le uova (una alla volta);Mescolare insieme la farina, il lievito e l'amido.;Aggiungere a cucchiaiate sempre mescolando con le fruste.;Aggiungere la fialetta e il latte.;Il composto deve scendere a nastro dalle fruste x la sua consistenza.;Mettere i pirrottini nello stampo.;Versare il composto.;Cuocere a 180° e fare la prova stecchino.;Far raffreddare su di una gratella.;Quando sono completamente freddi glassare con la glassa al cioccolato.;;;;;;;Era una ricetta x stampo a plumcake ed è molto buona. Ma voglio provare a farla a muffin. Nello stampo bisognava ungerlo di burro e metterci del pane grattato. 
